road,hour,day_of_week,is_weekend,weather,incidents,congestion_pct
Tbilisi,11,5,1,Açıq,0,27
Atatürk,8,3,0,Dumanlı,0,87
Zərdabi,7,1,0,Yağışlı,0,80
Tbilisi,6,3,0,Dumanlı,0,37
Babək,15,0,0,Qarlı,1,95
Tbilisi,9,4,0,Qarlı,0,100
Rəşid Behbudov,1,3,0,Qarlı,0,38
Rəşid Behbudov,1,2,0,Dumanlı,0,34
İstiqlaliyyət,9,6,1,Dumanlı,0,54
Qara Qarayev,15,2,0,Açıq,0,42
Qara Qarayev,19,2,0,Yağışlı,0,76
Babək,1,5,1,Qarlı,0,46
İstiqlaliyyət,0,4,0,Dumanlı,0,25
Qara Qarayev,13,3,0,Yağışlı,0,46
Rəşid Behbudov,6,6,1,Dumanlı,0,38
Rəşid Behbudov,13,2,0,Yağışlı,0,72
Tbilisi,17,6,1,Yağışlı,0,53
Rəşid Behbudov,20,4,0,Qarlı,0,87
Neftçilər,20,2,0,Qarlı,0,100
Ziya Bünyadov,4,3,0,Yağışlı,0,60
Babək,10,4,0,Qarlı,1,87
Neftçilər,13,3,0,Açıq,0,51
Zərdabi,6,4,0,Açıq,0,24
Heydər Əliyev,7,6,1,Qarlı,0,74
Atatürk,2,0,0,Dumanlı,0,33
Atatürk,20,0,0,Yağışlı,0,85
Ziya Bünyadov,11,4,0,Qarlı,0,60
Heydər Əliyev,18,2,0,Dumanlı,0,81
Qara Qarayev,2,2,0,Açıq,1,37
Atatürk,16,2,0,Qarlı,0,67
Rəşid Behbudov,13,6,1,Dumanlı,1,74
Babək,9,5,1,Yağışlı,0,42
Babək,1,1,0,Qarlı,0,54
İstiqlaliyyət,10,1,0,Dumanlı,0,61
Ziya Bünyadov,7,6,1,Dumanlı,0,53
Qara Qarayev,10,0,0,Dumanlı,1,97
Babək,5,5,1,Dumanlı,0,38
Neftçilər,17,4,0,Dumanlı,1,100
Babək,19,1,0,Yağışlı,0,80
Babək,17,3,0,Yağışlı,0,90
Qara Qarayev,11,3,0,Dumanlı,0,68
Tbilisi,5,5,1,Yağışlı,0,38
Babək,8,5,1,Açıq,0,37
Qara Qarayev,20,6,1,Dumanlı,0,48
İstiqlaliyyət,16,0,0,Dumanlı,0,50
Rəşid Behbudov,13,2,0,Yağışlı,0,56
Babək,14,2,0,Açıq,0,32
Tbilisi,9,0,0,Yağışlı,0,85
İstiqlaliyyət,22,4,0,Qarlı,1,60
Rəşid Behbudov,6,6,1,Açıq,0,20
Qara Qarayev,20,0,0,Açıq,0,69
Rəşid Behbudov,6,2,0,Qarlı,1,67
Rəşid Behbudov,12,4,0,Dumanlı,0,59
Atatürk,23,5,1,Yağışlı,1,67
Babək,2,4,0,Qarlı,1,66
İstiqlaliyyət,15,1,0,Açıq,0,35
Rəşid Behbudov,22,0,0,Açıq,0,12
Atatürk,15,4,0,Yağışlı,0,55
Zərdabi,13,5,1,Yağışlı,0,56
Tbilisi,11,3,0,Açıq,0,29
Babək,20,1,0,Dumanlı,0,76
Tbilisi,18,6,1,Açıq,2,71
Zərdabi,14,5,1,Yağışlı,0,56
Zərdabi,10,1,0,Açıq,0,31
Heydər Əliyev,2,2,0,Açıq,1,47
Ziya Bünyadov,16,2,0,Qarlı,0,91
Rəşid Behbudov,13,0,0,Qarlı,0,85
İstiqlaliyyət,5,4,0,Yağışlı,0,37
Ziya Bünyadov,3,2,0,Dumanlı,0,46
Neftçilər,10,2,0,Açıq,0,48
İstiqlaliyyət,4,4,0,Dumanlı,0,28
Atatürk,7,5,1,Açıq,0,43
Babək,3,0,0,Dumanlı,0,37
Heydər Əliyev,21,5,1,Açıq,0,29
Qara Qarayev,21,0,0,Qarlı,0,49
Qara Qarayev,8,3,0,Açıq,0,67
Heydər Əliyev,20,3,0,Yağışlı,0,76
Ziya Bünyadov,3,1,0,Dumanlı,0,36
İstiqlaliyyət,6,4,0,Dumanlı,0,30
Babək,5,6,1,Qarlı,0,41
Zərdabi,6,3,0,Yağışlı,0,33
Tbilisi,21,2,0,Dumanlı,0,35
Atatürk,4,1,0,Yağışlı,0,41
Tbilisi,18,2,0,Açıq,0,65
Atatürk,13,6,1,Yağışlı,0,50
Neftçilər,5,3,0,Qarlı,1,66
İstiqlaliyyət,10,4,0,Açıq,0,42
Babək,12,4,0,Dumanlı,0,64
Qara Qarayev,11,1,0,Açıq,0,29
Ziya Bünyadov,18,4,0,Dumanlı,0,88
Ziya Bünyadov,12,3,0,Açıq,1,81
Tbilisi,17,3,0,Dumanlı,1,94
Ziya Bünyadov,23,2,0,Qarlı,0,59
Atatürk,20,3,0,Dumanlı,0,89
Rəşid Behbudov,21,3,0,Qarlı,1,68
Zərdabi,3,1,0,Yağışlı,0,37
Qara Qarayev,7,3,0,Yağışlı,0,91
Tbilisi,17,3,0,Dumanlı,1,100
Heydər Əliyev,18,6,1,Açıq,0,33
Heydər Əliyev,7,1,0,Dumanlı,0,79
Babək,17,2,0,Yağışlı,1,100
Heydər Əliyev,21,0,0,Yağışlı,0,35
Ziya Bünyadov,2,3,0,Qarlı,0,67
Ziya Bünyadov,21,2,0,Dumanlı,0,38
Babək,19,1,0,Açıq,0,67
Ziya Bünyadov,14,5,1,Yağışlı,0,70
Tbilisi,4,3,0,Açıq,2,74
İstiqlaliyyət,6,1,0,Yağışlı,0,47
Tbilisi,15,6,1,Dumanlı,0,48
Babək,5,2,0,Yağışlı,0,34
Heydər Əliyev,14,1,0,Açıq,0,26
Neftçilər,3,4,0,Açıq,0,10
Qara Qarayev,10,4,0,Yağışlı,0,61
Babək,18,5,1,Qarlı,0,69
Babək,22,1,0,Qarlı,1,75
